name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
Endurance Technologies,3.8,1.6k,71,243,Skill Development / Learning,Promotions / Appraisal
Tata Elxsi,4.0,1.6k,169,211,"Job Security, Work Life Balance, Company Culture",
Force Motors,3.5,1.6k,84,168,"Promotions / Appraisal, Company Culture, Salary & Benefits",
Foundever,3.9,1.6k,76,223,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Kalyan Jewellers,4.7,1.6k,37,59,"Company Culture, Skill Development / Learning, Salary & Benefits",
Bharat Petroleum,4.1,1.6k,106,193,"Skill Development / Learning, Salary & Benefits, Job Security",Promotions / Appraisal
GVK Emergency Management and Research Institute,3.7,1.6k,56,184,"Promotions / Appraisal, Job Security, Salary & Benefits",
Syngene International,3.9,1.6k,109,240,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
HCL Infosystems,4.0,1.6k,126,230,"Job Security, Work Life Balance, Company Culture",
Jindal Stainless,4.2,1.6k,99,205,"Job Security, Skill Development / Learning, Work Life Balance",
Shahi Exports,4.0,1.6k,76,241,"Job Security, Skill Development / Learning, Company Culture",
Fincare Small Finance Bank,4.0,1.6k,75,151,"Job Security, Work Life Balance, Skill Development / Learning",
Dhani Loans and Services,3.8,1.6k,61,49,"Job Security, Promotions / Appraisal",
NoBroker,3.3,1.6k,130,361,"Work Satisfaction, Promotions / Appraisal, Work Life Balance",
PhonePe,4.1,1.6k,135,192,"Salary & Benefits, Company Culture, Job Security",
