name,rating,reviews,interviews,benefits,Higher_rate_for,lower_rate_for
Tata AIA Life Insurance,4.1,2.6k,123,307,"Job Security, Salary & Benefits, Skill Development / Learning",
Hindalco Industries,4.2,2.6k,134,345,"Job Security, Skill Development / Learning, Company Culture",
Atos,3.8,2.6k,180,364,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
ITC Infotech,3.6,2.6k,203,294,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
DCB Bank,3.9,2.6k,125,253,"Job Security, Work Life Balance, Company Culture",
Aakash Educational Services,3.6,2.6k,187,217,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",
Indian Air Force,4.7,2.6k,37,374,"Job Security, Skill Development / Learning, Salary & Benefits",
Hindustan Coca Cola Beverages,4.3,2.5k,88,386,"Skill Development / Learning, Job Security, Salary & Benefits",
Vishal Mega Mart,3.7,2.5k,116,275,"Company Culture, Work Life Balance, Work Satisfaction",
Utkarsh Small Finance Bank,3.9,2.5k,152,272,Job Security,
Glenmark Pharmaceuticals,4.0,2.5k,90,328,"Skill Development / Learning, Job Security, Salary & Benefits",
Barclays,4.1,2.5k,130,285,"Job Security, Company Culture, Work Life Balance",
Ipca Laboratories,4.0,2.5k,115,264,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Maersk,4.3,2.5k,106,446,"Company Culture, Work Life Balance, Job Security",
ABB Group,4.1,2.5k,128,357,"Job Security, Company Culture, Work Life Balance",
Berger Paints,3.7,2.5k,191,287,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",
Wipro Infotech,4.1,2.5k,110,298,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Jindal Steel and Power,3.9,2.5k,200,329,"Skill Development / Learning, Job Security",Promotions / Appraisal
DTDC Express,3.8,2.5k,97,269,"Promotions / Appraisal, Salary & Benefits",
Aarti Industries,4.1,2.5k,207,385,"Job Security, Work Life Balance, Skill Development / Learning",
Bank of America,4.4,2.4k,146,432,"Job Security, Work Life Balance, Company Culture",
Honda Motorcycle & Scooter,4.2,2.4k,103,372,"Job Security, Work Life Balance, Company Culture",
24/7 Customer,3.6,2.4k,150,438,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
NatWest Group,4.1,2.4k,115,376,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
CMS IT Services,3.1,2.4k,90,194,"Promotions / Appraisal, Salary & Benefits, Company Culture",
HDFC Ergo General Insurance,4.0,2.4k,93,278,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Johnson Controls,3.8,2.4k,168,297,Promotions / Appraisal,
Reliance Nippon Life Insurance,3.9,2.4k,100,235,,
Marpu Foundation,4.9,2.4k,23,81,"Company Culture, Work Satisfaction, Skill Development / Learning",
MRF Tyres,3.7,2.4k,209,377,Job Security,"Company Culture, Work Satisfaction, Work Life Balance"
Carelon Global Solutions,4.0,2.4k,247,49,"Job Security, Salary & Benefits, Company Culture",
Wipro Consumer Care & Lighting,3.9,2.4k,41,285,Job Security,Promotions / Appraisal
RBL Bank,3.7,2.4k,121,225,Promotions / Appraisal,
PolicyBazaar,3.4,2.4k,173,240,"Work Life Balance, Promotions / Appraisal, Company Culture",
Cogent E Services,3.3,2.4k,165,231,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Paras Hospital,4.6,2.4k,50,153,"Skill Development / Learning, Company Culture, Work Life Balance",
PNB MetLife,3.4,2.4k,108,227,"Job Security, Work Satisfaction, Promotions / Appraisal",
Axis Direct,4.0,2.4k,59,225,Skill Development / Learning,Promotions / Appraisal
GeBBS Healthcare Solutions,3.7,2.4k,102,304,Job Security,"Promotions / Appraisal, Salary & Benefits"
Ceat Tyres,4.0,2.4k,113,365,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
Kotak Mahindara Life Insurance,3.8,2.4k,142,270,Job Security,
Reliance Digital,4.3,2.4k,73,277,"Job Security, Skill Development / Learning, Company Culture",
Dabur,3.8,2.3k,146,280,Promotions / Appraisal,
Conduent,3.5,2.3k,122,385,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Jubilant Foods Works,3.8,2.3k,102,188,"Skill Development / Learning, Salary & Benefits",Work Life Balance
JK Cement,4.1,2.3k,166,259,"Salary & Benefits, Company Culture, Job Security",
Shoppers Stop,4.1,2.3k,73,328,"Job Security, Company Culture, Skill Development / Learning",
IndiGo,3.5,2.3k,269,321,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
ACC,3.9,2.3k,136,281,Promotions / Appraisal,
GATI-KWE,4.0,2.3k,78,291,"Skill Development / Learning, Job Security, Company Culture",
HARMAN,3.8,2.3k,152,126,Promotions / Appraisal,
Indiabulls Home Loans,3.8,2.3k,83,121,"Promotions / Appraisal, Job Security",
Birlasoft,3.7,2.3k,179,243,"Promotions / Appraisal, Salary & Benefits",
Synechron,3.9,2.3k,186,277,"Salary & Benefits, Skill Development / Learning, Company Culture",Job Security
Reliance SMSL,3.9,2.3k,124,284,"Skill Development / Learning, Job Security, Salary & Benefits",Promotions / Appraisal
ArcelorMittal Nippon Steel,4.0,2.3k,136,125,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
PepsiCo,4.1,2.3k,118,261,"Job Security, Company Culture, Skill Development / Learning",
S&P Global,4.2,2.2k,141,238,"Company Culture, Work Life Balance, Job Security",
Lenskart,3.2,2.2k,181,208,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",
KPIT Technologies,3.6,2.2k,153,307,"Promotions / Appraisal, Job Security, Work Satisfaction",
Torrent Pharmaceuticals,3.9,2.2k,76,336,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
UPL,4.1,2.2k,120,325,"Job Security, Skill Development / Learning, Work Life Balance",
RSPL Group,4.1,2.2k,126,308,"Job Security, Skill Development / Learning, Work Life Balance",
Square Yards,3.9,2.2k,141,284,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",
AGS Health,4.0,2.2k,101,284,"Job Security, Company Culture, Skill Development / Learning",
Titan Company,4.4,2.2k,98,353,"Company Culture, Job Security, Skill Development / Learning",
Wipro Enterprises Ltd,3.9,2.2k,118,439,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Dilip Buildcon,4.0,2.2k,101,298,,
Tata AIG,4.2,2.2k,104,248,"Job Security, Company Culture, Skill Development / Learning",
TVS Credit,4.5,2.2k,64,208,"Skill Development / Learning, Job Security, Company Culture",
Escorts Kubota Limited,4.1,2.2k,137,268,"Skill Development / Learning, Work Life Balance, Company Culture",
Bajaj Electricals,4.0,2.2k,97,304,"Company Culture, Work Life Balance, Salary & Benefits",
Statestreet HCL Services,3.2,2.2k,163,219,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Tech Mahindra Business Services,3.5,2.2k,222,333,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
IGT Solutions,3.3,2.1k,129,241,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Alstom Transportation,3.8,2.1k,161,189,Job Security,Promotions / Appraisal
Simplex Infrastructures,3.3,2.1k,49,290,"Salary & Benefits, Promotions / Appraisal, Company Culture",
AFCONS Infrastructure,4.4,2.1k,156,317,"Job Security, Skill Development / Learning, Company Culture",
EY Global Delivery Services ( EY GDS),3.7,2.1k,309,166,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Birla Sun Life Insurance,4.2,2.1k,81,217,"Job Security, Company Culture, Work Life Balance",
Apollo Tyres,4.1,2.1k,95,338,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
Mankind Pharma,4.1,2.1k,137,254,"Salary & Benefits, Skill Development / Learning, Job Security",
Domino's Pizza,4.0,2.1k,60,392,"Skill Development / Learning, Salary & Benefits",
Suzlon Group,4.1,2.1k,81,360,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Flex,4.1,2.1k,112,455,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Capita,3.8,2.1k,105,339,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
IDFC FIRST Bharat,4.6,2.1k,83,76,"Salary & Benefits, Job Security, Company Culture",
KocharTech,4.1,2.1k,52,606,"Skill Development / Learning, Company Culture, Job Security",
Huawei Technologies,4.0,2.1k,78,300,"Salary & Benefits, Skill Development / Learning",
Zensar Technologies,3.8,2.1k,146,272,Work Life Balance,Promotions / Appraisal
McDonald's,4.2,2.1k,69,421,"Skill Development / Learning, Company Culture, Job Security",
Max Healthcare,4.1,2k,83,253,"Skill Development / Learning, Job Security, Company Culture",
Tata Technologies,3.7,2k,143,328,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Bajaj Allianz General Insurance,4.0,2k,64,247,"Skill Development / Learning, Job Security, Company Culture",
Taj Hotels Resorts and Palaces,4.2,2k,73,179,"Job Security, Company Culture, Skill Development / Learning",
State Street Corporation,3.8,2k,113,281,Job Security,Promotions / Appraisal
ElasticRun,3.3,2k,208,235,"Job Security, Promotions / Appraisal, Work Satisfaction",
I Process Services,3.8,2k,59,131,"Promotions / Appraisal, Salary & Benefits",
Lava International,4.1,2k,48,305,"Skill Development / Learning, Company Culture, Work Life Balance",
HDFC Sales,4.0,2k,120,198,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Walmart,4.0,2k,194,361,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal
Nestle,4.1,2k,173,325,"Job Security, Salary & Benefits, Skill Development / Learning",
Landmark Group,4.0,2k,86,279,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Croma,4.1,2k,68,193,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Grasim Industries,4.0,2k,126,263,"Job Security, Skill Development / Learning, Work Life Balance",
Blue Dart Express,4.1,2k,72,237,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
Patanjali Ayurved,4.0,2k,79,261,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Tractors and Farm Equipment,4.1,2k,70,288,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal
Nokia,4.2,2k,154,544,"Company Culture, Work Life Balance, Job Security",
State Street Syntel,3.7,2k,51,289,"Job Security, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Capgemini Engineering,3.7,2k,185,157,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
UNO Minda,4.0,2k,111,277,"Job Security, Skill Development / Learning, Company Culture",
BlackBuck,3.8,2k,130,247,Salary & Benefits,"Job Security, Promotions / Appraisal"
Fortis Healthcare,4.0,2k,85,143,"Job Security, Skill Development / Learning, Company Culture",
G4S,4.0,2k,64,237,"Work Life Balance, Salary & Benefits, Job Security",Promotions / Appraisal
Societe Generale,3.9,2k,147,305,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Fiserv,3.6,1.9k,96,331,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
Britannia,4.1,1.9k,110,259,"Job Security, Skill Development / Learning, Company Culture",
TVS Supply Chain Solutions,3.8,1.9k,84,202,Job Security,"Promotions / Appraisal, Salary & Benefits"
KFintech,3.6,1.9k,87,54,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Voltas,4.0,1.9k,83,257,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Micro Labs,3.6,1.9k,77,217,Job Security,"Salary & Benefits, Promotions / Appraisal, Company Culture"
Ola Cabs,3.5,1.9k,104,242,"Job Security, Promotions / Appraisal, Company Culture",
Sterlite Technologies,3.8,1.9k,121,222,Promotions / Appraisal,
